Unnamed: 0.1,Unnamed: 0,date,sleep_hours
0,0,2015-02-19,6.4
1,1,2015-02-20,7.583333333333333
2,2,2015-02-21,6.35
3,3,2015-02-22,6.5
4,4,2015-02-23,8.916666666666666
5,5,2015-02-24,6.6
6,6,2015-02-25,6.216666666666667
7,7,2015-02-26,5.283333333333333
8,8,2015-02-27,9.866666666666667
9,9,2015-02-28,5.966666666666667
10,10,2015-03-01,7.4
11,11,2015-03-02,6.083333333333333
12,12,2015-03-03,7.066666666666666
13,13,2015-03-04,6.95
14,14,2015-03-08,7.033333333333333
15,15,2015-03-10,7.433333333333334
16,16,2015-03-11,6.566666666666666
17,17,2015-03-12,6.283333333333333
18,18,2015-03-14,7.85
19,19,2015-03-15,6.566666666666666
20,20,2015-03-16,5.916666666666667
21,21,2015-03-17,9.916666666666666
22,22,2015-03-21,7.566666666666666
23,23,2015-03-22,7.9
24,24,2015-03-26,9.95
25,25,2015-04-03,7.066666666666666
26,26,2015-04-06,6.616666666666666
27,27,2015-04-10,6.95
28,28,2015-04-16,6.05
29,29,2015-04-22,8.066666666666666
30,30,2015-04-26,6.566666666666666
31,31,2015-05-03,7.05
32,32,2015-05-04,9.183333333333334
33,33,2015-05-05,3.1333333333333333
34,34,2015-05-06,5.933333333333334
35,35,2015-05-09,6.916666666666667
36,36,2015-05-12,6.983333333333333
37,37,2015-05-15,7.8
38,38,2015-05-18,6.116666666666666
39,39,2015-05-19,5.6
40,40,2015-05-20,6.5
41,41,2015-05-23,12.1
42,42,2015-06-08,6.283333333333333
43,43,2015-06-09,5.833333333333333
44,44,2015-06-10,10.033333333333331
45,45,2015-07-05,5.983333333333333
46,46,2015-07-06,7.05
47,47,2015-07-07,6.466666666666667
48,48,2015-07-17,6.9
49,49,2015-07-18,7.116666666666666
50,50,2015-07-19,6.366666666666666
51,51,2015-07-20,5.166666666666667
52,52,2015-07-21,7.85
53,53,2015-07-22,5.916666666666667
54,54,2015-07-23,6.916666666666667
55,55,2015-07-24,6.45
56,56,2015-07-25,7.783333333333333
57,57,2015-07-28,6.683333333333334
58,58,2015-07-29,6.85
59,59,2015-07-30,6.483333333333333
60,60,2015-07-31,6.833333333333333
61,61,2015-08-01,8.066666666666666
62,62,2015-08-02,6.05
63,63,2015-08-03,6.816666666666666
64,64,2015-08-04,7.1
65,65,2015-08-05,5.566666666666666
66,66,2015-08-06,7.25
67,67,2015-08-07,7.416666666666667
68,68,2015-08-08,4.516666666666667
69,69,2015-08-09,5.95
70,70,2015-08-10,7.083333333333333
71,71,2015-08-11,6.666666666666667
72,72,2015-08-12,7.133333333333334
73,73,2015-08-13,7.316666666666666
74,74,2015-08-14,8.05
75,75,2015-08-15,6.0
76,76,2015-08-16,6.8
77,77,2015-08-17,6.816666666666666
78,78,2015-08-18,6.4
79,79,2015-08-19,7.183333333333334
80,80,2015-08-20,6.8
81,81,2015-08-21,7.55
82,82,2015-08-22,6.416666666666667
83,83,2015-08-23,6.816666666666666
84,84,2015-08-24,6.266666666666667
85,85,2015-08-25,6.55
